city,city_code,config,status,mae,mse,rmse,r2,smape,n_predictions,n_windows,pred_path,metrics_path,error
Salvador,2927408,config_3_mae_simple_horizon,success,0.04593436820920008,0.0032649494831284106,0.05713973646358907,0.04630211000022488,84.73704856442524,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\predictions\2927408_Salvador.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\metrics\2927408_Salvador.json,
São Luís,2111300,config_1_tweedie_high_horizon,success,0.24615583135483293,0.11111580069181204,0.3333403676301627,-0.6598264172329604,103.72564561744898,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\predictions\2111300_São_Luís.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\metrics\2111300_São_Luís.json,
São Luís,2111300,config_2_mae_moderate_horizon,success,0.23993822843147997,0.11997932780284096,0.34638032248215395,-0.7922280770972576,104.29572762842827,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\predictions\2111300_São_Luís.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\metrics\2111300_São_Luís.json,
São Luís,2111300,config_3_mae_simple_horizon,success,0.2095220027877442,0.09658256428492444,0.3107773548457552,-0.4427317325359581,96.71674300747776,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\predictions\2111300_São_Luís.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\metrics\2111300_São_Luís.json,
São Paulo,3550308,config_1_tweedie_high_horizon,success,0.015456072979238218,0.0008632531978251212,0.029381170804192287,0.17396853289681413,74.07645148565011,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\predictions\3550308_São_Paulo.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\metrics\3550308_São_Paulo.json,
São Paulo,3550308,config_2_mae_moderate_horizon,success,0.014793528858293513,0.000783244388221999,0.02798650367984538,0.2505275245624726,76.24639882511244,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\predictions\3550308_São_Paulo.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\metrics\3550308_São_Paulo.json,
São Paulo,3550308,config_3_mae_simple_horizon,success,0.01414908371034531,0.0005185226528131684,0.022771092481766623,0.5038349945200363,111.4769672777717,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\predictions\3550308_São_Paulo.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\metrics\3550308_São_Paulo.json,
Teresina,2211001,config_1_tweedie_high_horizon,success,1.197144903710119,3.2135754743514986,1.7926448266043942,-0.6759903436817316,122.04274944582312,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\predictions\2211001_Teresina.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\metrics\2211001_Teresina.json,
Teresina,2211001,config_2_mae_moderate_horizon,success,0.8746300566389595,1.9695005369385363,1.403388947134235,-0.0271623953226392,101.4464882574388,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\predictions\2211001_Teresina.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\metrics\2211001_Teresina.json,
Teresina,2211001,config_3_mae_simple_horizon,success,0.8346685789720634,1.4749362732149414,1.2144695439635123,0.23076990996982594,97.66028092760497,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\predictions\2211001_Teresina.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\metrics\2211001_Teresina.json,
